,max_temp,max_temp,max_temp,max_temp
,min,max,mean,std
state,,,,
AK,50.0,122.4,87.95013927576602,22.010160013850356
AL,81.3,122.4,107.44571428571427,11.627512371786327
AR,98.1,122.4,106.37971014492753,7.4704826938729
AZ,78.1,122.4,111.84565217391304,10.837059057721541
CA,57.2,122.4,109.35236593059936,12.2000999588082
CO,60.8,122.4,101.20530303030303,16.144425996212032
CT,84.4,122.4,100.59615384615384,12.497023030121403
DC,95.7,122.4,109.05000000000001,18.879751057680828
DE,93.2,122.4,98.81,8.39344320817678
FL,89.1,122.4,103.59507389162562,11.411548578517287
GA,93.2,122.4,104.76717557251908,9.031895982470576
HI,81.7,122.4,102.40789473684211,16.901341408125756
IA,95.0,122.4,100.35254237288136,7.729947444723628
ID,86.0,122.4,106.17916666666667,11.501654984213646
IL,95.0,122.4,101.36614173228347,8.67134690909363
IN,93.2,122.4,100.86333333333333,9.310663954672421
KS,99.5,122.4,110.42235294117647,7.4774164189592245
KY,92.1,122.4,102.60754716981131,10.5319267186202
LA,89.6,122.4,104.80098039215687,11.167797544709158
MA,79.7,122.4,100.32678571428572,11.651851059676451
MD,88.0,122.4,100.71754385964911,11.076763368276495
ME,75.7,132.8,101.09811320754717,15.200739994209274
MI,66.9,122.4,97.11361256544502,12.242940953728114
MN,73.4,122.4,98.4910052910053,7.508355171958087
MO,91.4,122.4,107.02823529411765,10.26394071454023
MS,80.6,122.4,104.2344827586207,10.136741435034743
MT,74.3,122.4,108.05857142857144,12.080976696012906
NC,86.4,122.4,101.27631578947368,10.322852786316446
ND,70.3,122.4,101.98805970149253,11.684482358940075
NE,80.8,122.4,106.6082474226804,8.177671200988557
NH,65.3,122.4,100.06470588235294,14.666058162713172
NJ,77.0,122.4,103.67446808510638,12.658086744725797
NM,85.3,122.4,110.64193548387098,11.32244138081003
NV,95.7,122.4,113.6063829787234,9.17011697463013
NY,85.3,122.4,101.83980582524272,13.866522952256497
OH,87.4,122.4,101.13052631578947,11.528346873465358
OK,104.0,122.4,111.43398058252428,4.839007218672482
OR,87.1,122.4,109.22048192771085,11.363814618856761
PA,88.0,122.4,101.18181818181819,12.60002322069148
PR,91.4,93.9,92.60000000000001,1.15181016954473
RI,87.4,122.4,99.76842105263158,14.191000772460582
SC,93.2,122.4,103.60000000000001,9.870752995890548
SD,89.6,122.4,107.91875,8.6329072603589
TN,91.0,122.4,106.27619047619048,11.722977427586914
TX,80.6,129.0,108.05469168900805,8.288459441785905
UT,91.0,122.4,111.46818181818183,10.82191734882941
VA,85.1,126.0,101.20234375,11.434982000913722
VI,93.9,95.0,94.45,0.7778174593051983
VT,88.7,122.4,98.82222222222222,13.09905948826572
WA,82.0,122.4,105.84907407407408,13.497763714885249
WI,84.7,122.4,97.06538461538462,8.246020525204077
WV,87.1,122.4,102.81333333333333,14.311310533819132
WY,82.4,124.7,103.36507936507937,12.980968187090085
